Yaw: 17.875, Pitch: 1, Roll: 1.4375, ax: -0.187417, ay: -0.13022, accel_signed: -0.211348
Yaw: 18.625, Pitch: 1, Roll: 1.375, ax: -0.133442, ay: -0.0883438, accel_signed: -0.150258
Yaw: 19.5, Pitch: 1, Roll: 1.4375, ax: -0.264387, ay: -0.0932576, accel_signed: -0.279207
Yaw: 20.375, Pitch: 1.0625, Roll: 1.375, ax: -0.355289, ay: -0.130998, accel_signed: -0.377162
Yaw: 21.5625, Pitch: 1, Roll: 1.375, ax: -0.234929, ay: -0.118537, accel_signed: -0.258765
Yaw: 22.5, Pitch: 1, Roll: 1.3125, ax: -0.02138, ay: -0.073967, accel_signed: 0
Yaw: 23.75, Pitch: 1, Roll: 1.1875, ax: -0.107812, ay: -0.176325, accel_signed: -0.15819
Yaw: 24.75, Pitch: 1, Roll: 1.125, ax: -0.1689, ay: -0.222334, accel_signed: -0.233429
Yaw: 26, Pitch: 1.0625, Roll: 1.125, ax: -0.146175, ay: -0.240186, accel_signed: -0.221789
Yaw: 27, Pitch: 1.0625, Roll: 1.125, ax: -0.217883, ay: -0.277267, accel_signed: -0.305115
Yaw: 27.875, Pitch: 1.0625, Roll: 1.125, ax: -0.0459079, ay: -0.242331, accel_signed: -0.135599
Yaw: 28.875, Pitch: 0.9375, Roll: 1.1875, ax: -0.188985, ay: -0.262085, accel_signed: -0.278176
Yaw: 29.625, Pitch: 0.9375, Roll: 1.1875, ax: -0.198594, ay: -0.230496, accel_signed: -0.276019
Yaw: 30.1875, Pitch: 0.9375, Roll: 1.125, ax: -0.235826, ay: -0.180984, accel_signed: -0.290148
Yaw: 30.8125, Pitch: 0.9375, Roll: 1.125, ax: -0.259053, ay: -0.122864, accel_signed: -0.286711
Yaw: 31.5, Pitch: 0.9375, Roll: 0.9375, ax: -0.278168, ay: -0.116884, accel_signed: -0.301178
Yaw: 31.9375, Pitch: 1, Roll: 1, ax: -0.32971, ay: -0.118132, accel_signed: -0.347641
Yaw: 32.375, Pitch: 1.0625, Roll: 1.125, ax: -0.0748027, ay: -0.0441118, accel_signed: -0.0866875
Yaw: 32.9375, Pitch: 1.0625, Roll: 1.125, ax: -0.250327, ay: -0.152163, accel_signed: -0.292366
Yaw: 33.5625, Pitch: 1.0625, Roll: 1.0625, ax: -0.118072, ay: -0.112956, accel_signed: -0.157521
Yaw: 34.3125, Pitch: 1.125, Roll: 1, ax: -0.0535706, ay: -0.12409, accel_signed: -0.107104
Yaw: 35.125, Pitch: 1.125, Roll: 1, ax: -0.0931834, ay: -0.142726, accel_signed: -0.151894
Yaw: 36, Pitch: 1.125, Roll: 1, ax: -0.105247, ay: -0.0844403, accel_signed: -0.133624
Yaw: 37.0625, Pitch: 1.0625, Roll: 1, ax: -0.125675, ay: -0.122068, accel_signed: -0.171143
Yaw: 38.0625, Pitch: 1.125, Roll: 0.9375, ax: -0.127038, ay: -0.112359, accel_signed: -0.167655
Yaw: 39, Pitch: 1.125, Roll: 1, ax: -0.111148, ay: -0.134013, accel_signed: -0.16687
Yaw: 40.0625, Pitch: 1.125, Roll: 1.0625, ax: -0.116747, ay: -0.135534, accel_signed: -0.173227
Yaw: 41, Pitch: 1.0625, Roll: 1.0625, ax: -0.343453, ay: -0.12169, accel_signed: -0.349835
Yaw: 42.0625, Pitch: 1.125, Roll: 1, ax: -0.309831, ay: -0.209995, accel_signed: -0.37388
Yaw: 42.875, Pitch: 1.1875, Roll: 0.8125, ax: -0.305091, ay: -0.230923, accel_signed: -0.382616
Yaw: 43.5625, Pitch: 1.1875, Roll: 0.75, ax: -0.260849, ay: -0.246055, accel_signed: -0.357215
Yaw: 44.3125, Pitch: 1.25, Roll: 0.75, ax: 0.0455338, ay: -0.173184, accel_signed: -0.0737801
Yaw: 44.9375, Pitch: 1, Roll: 0.9375, ax: 0.2676, ay: -0.177638, accel_signed: 0.0924889
Yaw: 45.75, Pitch: 1.125, Roll: 0.8125, ax: 0.179362, ay: -0.190229, accel_signed: 0
Yaw: 46.375, Pitch: 1.0625, Roll: 0.8125, ax: 0.1623, ay: -0.240623, accel_signed: 0
Yaw: 47.375, Pitch: 1.1875, Roll: 0.75, ax: 0.148764, ay: -0.208221, accel_signed: 0
Yaw: 48.0625, Pitch: 1.1875, Roll: 0.6875, ax: 0.0490002, ay: -0.188414, accel_signed: -0.092101
Yaw: 49.0625, Pitch: 1.1875, Roll: 0.6875, ax: -0.0593471, ay: -0.213298, accel_signed: -0.190492
Yaw: 49.6875, Pitch: 1.1875, Roll: 0.625, ax: -0.0955567, ay: -0.140689, accel_signed: -0.16673
Yaw: 50.25, Pitch: 1.1875, Roll: 0.6875, ax: -0.0912231, ay: -0.151087, accel_signed: -0.171339
Yaw: 50.8125, Pitch: 0.9375, Roll: 0.75, ax: -0.0834968, ay: -0.198546, accel_signed: -0.200224
Yaw: 51.3125, Pitch: 1, Roll: 0.8125, ax: -0.17163, ay: -0.177757, accel_signed: -0.247092
Yaw: 51.9375, Pitch: 0.875, Roll: 0.6875, ax: -0.0630328, ay: -0.167507, accel_signed: -0.165121
Yaw: 53.1875, Pitch: 0.875, Roll: 0.625, ax: -0.096038, ay: -0.229575, accel_signed: -0.23478
Yaw: 54.3125, Pitch: 0.8125, Roll: 0.5625, ax: -0.14588, ay: -0.27147, accel_signed: -0.300661
Yaw: 55.625, Pitch: 0.875, Roll: 0.625, ax: -0.143418, ay: -0.354089, accel_signed: -0.364198
Yaw: 57.0625, Pitch: 0.75, Roll: 0.625, ax: -0.263902, ay: -0.393653, accel_signed: -0.472562
Yaw: 58.4375, Pitch: 0.75, Roll: 0.625, ax: -0.284458, ay: -0.357158, accel_signed: -0.456388
Yaw: 59.9375, Pitch: 0.75, Roll: 0.6875, ax: -0.15181, ay: -0.393576, accel_signed: -0.408914
Yaw: 60.9375, Pitch: 0.75, Roll: 0.625, ax: -0.364718, ay: -0.346624, accel_signed: -0.491897
Yaw: 62.125, Pitch: 0.875, Roll: 0.6875, ax: -0.294828, ay: -0.356458, accel_signed: -0.45964
Yaw: 63, Pitch: 0.75, Roll: 0.5, ax: -0.200195, ay: -0.268329, accel_signed: -0.33376
Yaw: 63.6875, Pitch: 0.75, Roll: 0.625, ax: -0.20303, ay: -0.36932, accel_signed: -0.420958
Yaw: 64.25, Pitch: 0.8125, Roll: 0.5625, ax: -0.176107, ay: -0.347506, accel_signed: -0.388573
Yaw: 64.75, Pitch: 0.8125, Roll: 0.625, ax: 0.0803601, ay: -0.270692, accel_signed: -0.19245
Yaw: 65.375, Pitch: 0.75, Roll: 0.625, ax: 0.318138, ay: -0.237333, accel_signed: 0
Yaw: 66.625, Pitch: 0.6875, Roll: 0.5625, ax: 0.296437, ay: -0.231879, accel_signed: -0.0615219
Yaw: 67.875, Pitch: 0.75, Roll: 0.625, ax: 0.194041, ay: -0.279263, accel_signed: -0.158767
Yaw: 68.875, Pitch: 0.6875, Roll: 0.5625, ax: 0.0890188, ay: -0.252698, accel_signed: -0.186847
Yaw: 69.875, Pitch: 0.75, Roll: 0.625, ax: 0.159505, ay: -0.267661, accel_signed: -0.173484
Yaw: 70.875, Pitch: 0.8125, Roll: 0.6875, ax: 0.00735179, ay: -0.286909, accel_signed: -0.2583
Yaw: 72.25, Pitch: 0.6875, Roll: 0.625, ax: -0.13223, ay: -0.329058, accel_signed: -0.354565
Yaw: 73.25, Pitch: 0.6875, Roll: 0.6875, ax: -0.129164, ay: -0.297756, accel_signed: -0.32446
Yaw: 74.125, Pitch: 0.875, Roll: 0.875, ax: -0.114975, ay: -0.268481, accel_signed: -0.291875
Yaw: 74.875, Pitch: 0.875, Roll: 1, ax: -0.124014, ay: -0.367555, accel_signed: -0.387736
Yaw: 75.9375, Pitch: 0.8125, Roll: 1, ax: -0.295808, ay: -0.357324, accel_signed: -0.435047
Yaw: 76.625, Pitch: 0.9375, Roll: 0.875, ax: -0.342818, ay: -0.311919, accel_signed: -0.40507
Yaw: 77.1875, Pitch: 0.9375, Roll: 0.9375, ax: -0.28928, ay: -0.404007, accel_signed: -0.47379
Yaw: 77.8125, Pitch: 0.9375, Roll: 0.875, ax: -0.258909, ay: -0.446432, accel_signed: -0.503502
Yaw: 78.375, Pitch: 0.9375, Roll: 0.9375, ax: -0.121081, ay: -0.463894, accel_signed: -0.479067
Yaw: 79, Pitch: 0.875, Roll: 1, ax: -0.186615, ay: -0.505379, accel_signed: -0.537409
Yaw: 79.5, Pitch: 0.875, Roll: 0.9375, ax: -0.263988, ay: -0.472525, accel_signed: -0.526441
Yaw: 79.9375, Pitch: 0.875, Roll: 0.9375, ax: -0.204631, ay: -0.433283, accel_signed: -0.471941
Yaw: 80.25, Pitch: 0.875, Roll: 0.9375, ax: -0.355439, ay: -0.421556, accel_signed: -0.499186
Yaw: 80.6875, Pitch: 0.8125, Roll: 1, ax: -0.442437, ay: -0.412847, accel_signed: -0.510828
Yaw: 81, Pitch: 0.875, Roll: 0.9375, ax: -0.451717, ay: -0.396405, accel_signed: -0.495399
Yaw: -1606.69, Pitch: 0.875, Roll: 0.9375, ax: -0.488653, ay: -0.401503, accel_signed: 0.540135
Yaw: 81.625, Pitch: 0.625, Roll: 1, ax: -0.507806, ay: -0.38614, accel_signed: -0.494895
Yaw: 81.875, Pitch: 0.6875, Roll: 1, ax: -0.385304, ay: -0.240966, accel_signed: -0.32356
Yaw: 82.1875, Pitch: 0.625, Roll: 1.0625, ax: -0.524633, ay: -0.293193, accel_signed: -0.40418
Yaw: 82.4375, Pitch: 0.625, Roll: 1.125, ax: -0.452848, ay: -0.251985, accel_signed: -0.346135
Yaw: 82.8125, Pitch: 0.5, Roll: 1.3125, ax: -0.353647, ay: -0.182355, accel_signed: -0.254242
Yaw: 83.0625, Pitch: 0.5, Roll: 1.1875, ax: -0.320007, ay: -0.265841, accel_signed: -0.327407
Yaw: 83.375, Pitch: 0.5625, Roll: 1.25, ax: -0.37613, ay: -0.310946, accel_signed: -0.38169
Yaw: 83.6875, Pitch: 0.4375, Roll: 1.1875, ax: -0.391718, ay: -0.258537, accel_signed: -0.331805
Yaw: 83.9375, Pitch: 0.5, Roll: 1.1875, ax: -0.38014, ay: -0.243456, accel_signed: -0.313294
Yaw: 84.1875, Pitch: 0.5625, Roll: 1.25, ax: -0.331613, ay: -0.240274, accel_signed: -0.299439
Yaw: 84.4375, Pitch: 0.625, Roll: 1.25, ax: -0.0926956, ay: -0.121341, accel_signed: -0.136576
Yaw: 84.75, Pitch: 0.6875, Roll: 1.1875, ax: -0.236078, ay: -0.109799, accel_signed: -0.150982
Yaw: 85, Pitch: 0.6875, Roll: 1.1875, ax: -0.267842, ay: -0.108867, accel_signed: -0.15479
Yaw: 85.3125, Pitch: 0.6875, Roll: 1.1875, ax: -0.317512, ay: -0.187928, accel_signed: -0.239903
Yaw: 85.625, Pitch: 0.6875, Roll: 1.1875, ax: -0.293968, ay: -0.183369, accel_signed: -0.229939
Yaw: 85.875, Pitch: 0.6875, Roll: 1.125, ax: -0.390618, ay: 30.9295, accel_signed: 30.4527
Yaw: 86.1875, Pitch: 0.75, Roll: 1.125, ax: -0.416243, ay: 27.9711, accel_signed: 27.5564
Yaw: 86.5625, Pitch: 0.6875, Roll: 1.125, ax: -0.451796, ay: 25.2657, accel_signed: 24.9076
Yaw: 86.9375, Pitch: 0.75, Roll: 1.1875, ax: -0.372672, ay: 22.7852, accel_signed: 22.492
Yaw: 87.4375, Pitch: 0.8125, Roll: 1.1875, ax: -0.333416, ay: 20.5636, accel_signed: 20.3274
Yaw: 87.9375, Pitch: 0.75, Roll: 1.25, ax: -0.30931, ay: 18.5846, accel_signed: 18.3941
Yaw: 88.375, Pitch: 0.75, Roll: 1.25, ax: -0.283692, ay: 16.7521, accel_signed: 16.5977
Yaw: 88.9375, Pitch: 0.75, Roll: 1.25, ax: -0.233876, ay: 15.0805, accel_signed: 14.9634
Yaw: 89.375, Pitch: 0.75, Roll: 1.25, ax: -0.084161, ay: 13.6422, accel_signed: 13.5619
Yaw: 90, Pitch: 0.6875, Roll: 1.1875, ax: -0.037154, ay: 12.296, accel_signed: 12.241
Yaw: 90.5, Pitch: 0.6875, Roll: 1.25, ax: -0.0326685, ay: 11.1349, accel_signed: 11.0939
