Yaw: -1.4375, Pitch: 1.5, Roll: 1.875, ax: -0.266014, ay: 0.109913, accel_signed: -0.282881
Yaw: -1.5625, Pitch: 1.5, Roll: 1.9375, ax: -0.277808, ay: 0.0927988, accel_signed: -0.290995
Yaw: -1.625, Pitch: 1.5, Roll: 1.875, ax: -0.305603, ay: 0.0287989, accel_signed: -0.304912
Yaw: -1.6875, Pitch: 1.5, Roll: 1.9375, ax: -0.189017, ay: -0.0576506, accel_signed: -0.172796
Yaw: -1.75, Pitch: 1.5625, Roll: 1.9375, ax: 0.0249202, ay: -0.00936032, accel_signed: 0
Yaw: -1.8125, Pitch: 1.4375, Roll: 1.8125, ax: -0.048794, ay: -0.0198849, accel_signed: 0
Yaw: -1.9375, Pitch: 1.375, Roll: 1.875, ax: -0.126911, ay: -0.0351159, accel_signed: -0.116504
Yaw: -1.875, Pitch: 1.375, Roll: 1.875, ax: -0.186182, ay: -0.0194092, accel_signed: -0.177825
Yaw: -1.6875, Pitch: 1.375, Roll: 1.9375, ax: -0.0866645, ay: -0.00709918, accel_signed: -0.0832673
Yaw: -1.5625, Pitch: 1.4375, Roll: 1.9375, ax: -0.165935, ay: -0.0330589, accel_signed: -0.155509
Yaw: -1.3125, Pitch: 1.625, Roll: 1.9375, ax: -0.0188784, ay: 0.00718459, accel_signed: 0
Yaw: -1.0625, Pitch: 1.5, Roll: 1.875, ax: -0.0456201, ay: -0.0990875, accel_signed: 0
Yaw: -0.75, Pitch: 1.4375, Roll: 1.875, ax: -0.154479, ay: -0.0487581, accel_signed: -0.142168
Yaw: -0.5, Pitch: 1.5, Roll: 1.875, ax: -0.163566, ay: 0.0139062, accel_signed: -0.163252
Yaw: -0.25, Pitch: 1.5, Roll: 1.9375, ax: -0.185105, ay: -0.0597116, accel_signed: -0.170922
Yaw: 0, Pitch: 1.4375, Roll: 1.875, ax: -0.127545, ay: 0.023971, accel_signed: -0.129776
Yaw: 0.25, Pitch: 1.5, Roll: 1.875, ax: -0.203878, ay: -0.057263, accel_signed: -0.190636
Yaw: 0.625, Pitch: 1.5, Roll: 1.875, ax: -0.139775, ay: 0.0100154, accel_signed: -0.139453
Yaw: 1, Pitch: 1.5, Roll: 1.875, ax: -0.00471944, ay: 0.0138189, accel_signed: 0
Yaw: 1.25, Pitch: 1.5, Roll: 1.8125, ax: -0.044223, ay: 0.0296269, accel_signed: 0
Yaw: 1.6875, Pitch: 1.5, Roll: 1.875, ax: -0.148459, ay: 0.0515411, accel_signed: -0.15454
Yaw: 2, Pitch: 1.5, Roll: 1.875, ax: -0.187607, ay: 0.0428333, accel_signed: -0.191845
Yaw: 2.375, Pitch: 1.5, Roll: 1.875, ax: -0.23064, ay: 0.0301975, accel_signed: -0.232599
Yaw: 2.6875, Pitch: 1.3125, Roll: 1.875, ax: -0.235336, ay: 0.0244712, accel_signed: -0.236494
Yaw: 3.0625, Pitch: 1.3125, Roll: 1.875, ax: -0.168241, ay: 0.0525834, accel_signed: -0.173565
Yaw: 3.5, Pitch: 1.375, Roll: 1.8125, ax: -0.355804, ay: 0.0361664, accel_signed: -0.357575
Yaw: 4.0625, Pitch: 1.4375, Roll: 1.8125, ax: -0.401863, ay: 0.0479461, accel_signed: -0.404699
Yaw: 4.4375, Pitch: 1.4375, Roll: 1.8125, ax: -0.434029, ay: 0.105216, accel_signed: -0.442584
