time,vx,ay,yaw_rate,steering_angle
4.722497,0.000000,0.110322,-0.187500,1.000000
4.752684,0.000000,0.113145,0.000000,1.000000
4.782970,0.000000,0.111895,0.062500,1.000000
4.813185,0.000000,0.112666,-0.250000,1.000000
4.843441,0.000000,0.112666,-0.250000,1.000000
4.873679,0.000000,0.111461,-0.062500,1.000000
4.903927,0.000000,0.107517,0.000000,1.000000
4.934066,0.000000,0.111558,-0.062500,1.000000
4.964231,0.000000,0.111410,0.000000,1.000000
4.994440,0.000000,0.109373,0.000000,1.000000
5.024639,0.000000,0.108482,0.000000,1.000000
5.054767,0.000000,0.108482,0.000000,1.000000
5.084928,0.000000,0.110529,0.062500,1.000000
5.115068,0.000000,0.108576,-0.062500,1.000000
5.145212,0.000000,0.107760,0.062500,1.000000
5.175315,0.000000,0.107973,-0.125000,1.000000
5.205509,0.000000,0.111971,0.000000,1.000000
5.235728,0.000000,0.108930,0.125000,1.000000
5.265873,0.000000,0.109983,0.000000,1.000000
5.296011,0.000000,0.111887,0.062500,1.000000
5.340303,0.000000,0.109805,0.000000,1.000000
5.370523,0.000000,0.112677,-0.125000,1.000000
5.402554,0.000000,0.112677,-0.125000,1.000000
5.432808,0.000000,0.111471,-0.062500,1.000000
5.464345,0.000000,0.111331,-0.125000,1.000000
5.496067,0.000000,0.114058,0.000000,1.000000
5.526263,0.000000,0.114624,0.062500,1.000000
5.556659,0.000000,0.114624,0.062500,1.000000
5.586813,0.000000,0.112281,-0.062500,1.000000
5.617464,0.000000,0.110162,0.000000,1.000000
5.648267,0.000000,0.113000,0.000000,1.000000
5.678521,0.000000,0.113000,0.000000,1.000000
5.708881,0.000000,0.114617,-0.062500,1.000000
5.739051,0.000000,0.110373,0.062500,1.000000
5.769230,0.000000,0.112240,-0.125000,1.000000
5.801504,0.000000,0.115832,0.000000,1.000000
5.831844,0.000000,0.113375,-0.062500,1.000000
5.862510,0.000000,0.113375,-0.062500,1.000000
5.893627,0.000000,0.115907,-0.187500,1.000000
5.923774,0.000000,0.119150,-0.062500,1.000000
5.954622,0.000000,0.117329,-0.062500,1.000000
5.984851,0.000000,0.117329,-0.062500,1.000000
6.024189,0.000000,0.114729,-0.062500,1.000000
6.056936,0.000000,0.115231,-0.125000,1.000000
6.090336,0.000000,0.117587,0.000000,1.000000
6.120527,0.000000,0.114011,-0.062500,1.000000
6.150738,0.000000,0.114581,-0.125000,1.000000
6.180877,0.000000,0.115096,0.062500,1.000000
6.211034,0.000000,0.112709,-0.062500,1.000000
6.241205,0.000000,0.116256,0.000000,1.000000
6.271417,0.000000,0.116613,0.000000,1.000000
6.301552,0.000000,0.116613,0.000000,1.000000
6.331690,0.000000,0.113130,-0.062500,1.000000
6.361826,0.000000,0.114735,-0.125000,1.000000
6.391984,0.000000,0.110479,-0.062500,1.000000
6.422119,0.000000,0.112336,-0.187500,1.000000
6.452393,0.000000,0.116870,-0.062500,1.000000
6.482547,0.000000,0.113363,-0.062500,1.000000
6.512720,0.000000,0.101628,0.750000,1.000000
6.542978,0.000000,0.101628,0.750000,1.000000
6.573209,0.000000,0.122401,0.000000,1.000000
6.611257,0.000000,0.122172,0.187500,1.000000
6.641554,0.000000,0.117209,0.062500,1.000000
6.671783,0.000000,0.120329,-0.125000,1.000000
6.703982,0.000000,0.110785,0.125000,1.000000
6.734166,0.000000,0.112613,-0.312500,1.000000
6.764337,0.000000,0.112364,0.125000,1.000000
6.794527,0.000000,0.108334,-0.187500,1.000000
6.824711,0.000000,0.108334,-0.187500,1.000000
6.855217,0.000000,0.101834,0.000000,1.000000
6.886004,0.000000,0.108318,0.000000,1.000000
6.916195,0.000000,0.104673,-0.125000,1.000000
6.947716,0.000000,0.104229,0.062500,1.000000
6.978105,0.000000,0.102875,-0.062500,1.000000
7.008265,0.000000,0.102875,-0.062500,1.000000
7.038439,0.000000,0.101650,0.000000,1.000000
7.068644,0.000000,0.100542,-0.187500,1.000000
7.098839,0.000000,0.107149,-0.812500,1.000000
7.128992,0.000000,0.102664,0.687500,1.000000
7.159131,0.000000,0.094801,-1.062500,1.000000
7.189342,0.000000,0.094801,-1.062500,1.000000
7.219475,0.000000,0.068660,0.937500,1.000000
7.249641,0.000000,0.087813,-0.375000,1.000000
7.279961,0.000000,0.071850,0.437500,1.000000
7.310157,0.000000,0.089747,-0.312500,1.000000
7.340409,0.000000,0.084064,-0.250000,1.000000
7.370540,0.000000,0.089385,-0.187500,1.000000
7.400673,0.000000,0.086590,-0.125000,1.000000
7.430810,0.000000,0.086590,-0.125000,1.000000
7.460956,0.000000,0.086914,0.187500,1.000000
7.491111,0.000000,0.086256,0.000000,1.000000
7.521307,0.000000,0.079954,0.437500,1.000000
7.551497,0.000000,0.113252,-0.437500,1.000000
7.581668,0.000000,0.079649,-0.187500,1.000000
7.611838,0.000000,0.112976,-0.062500,1.000000
7.642127,0.000000,0.095570,0.500000,1.000000
7.672245,0.000000,0.095570,0.500000,1.000000
7.702395,0.000000,0.115968,-0.437500,1.000000
7.732533,0.000000,0.084960,0.062500,1.000000
7.762688,0.000000,0.145368,-0.625000,1.000000
7.792820,0.000000,0.047830,0.562500,1.000000
7.822976,0.000000,0.047830,0.562500,1.000000
7.853409,0.000000,0.083233,-1.000000,1.000000
7.883702,0.000000,0.128585,1.562500,2.000000
7.914339,0.000000,0.186746,1.437500,2.000000
7.945197,0.000000,0.021538,-4.437500,2.000000
7.975336,0.000000,0.114614,-6.312500,2.000000
8.005857,0.000000,0.123688,-2.875000,1.000000
8.036041,0.000000,0.090995,-8.750000,1.000000
8.066175,0.000000,0.090995,-8.750000,1.000000
8.096329,0.000000,-0.044177,-19.125000,1.000000
8.126497,0.000000,0.035174,-30.500000,1.000000
8.156671,0.000000,0.088903,-37.875000,4.000000
8.186821,0.000000,0.055713,-37.187500,4.000000
8.217020,0.000000,0.220687,-34.812500,5.000000
8.247286,0.000000,0.343333,-30.937500,5.000000
8.277430,0.000000,0.011030,-29.250000,4.000000
8.307546,0.000000,0.011030,-29.250000,4.000000
8.337866,0.000000,-0.059460,6.000000,0.000000
8.368029,0.000000,-0.284958,25.750000,0.000000
8.398183,0.000000,-0.095188,34.687500,-5.000000
8.429039,0.000000,0.004236,33.375000,-5.000000
8.459186,0.000000,0.074225,30.937500,-5.000000
8.489333,0.000000,0.074225,30.937500,-2.000000
8.519502,0.000000,-0.014643,32.750000,-2.000000
8.549747,0.000000,-0.077935,35.250000,0.000000
8.579892,0.000000,-0.066716,31.062500,0.000000
8.610035,0.000000,-0.057516,24.625000,0.000000
8.641128,0.000000,-0.057516,24.625000,0.000000
8.671326,0.000000,-0.029215,27.750000,0.000000
8.701508,0.000000,0.005907,33.062500,0.000000
8.735071,0.000000,0.054810,38.062500,0.000000
8.765251,0.000000,0.060060,34.312500,0.000000
8.795492,0.000000,0.053395,25.437500,3.000000
8.827564,0.000000,0.033096,8.375000,3.000000
8.857790,0.000000,0.033096,8.375000,3.000000
8.888053,0.000000,0.015679,-0.812500,7.000000
8.918315,0.000000,-0.019106,-5.062500,7.000000
8.948466,0.000000,-0.052485,-3.000000,8.000000
8.979652,0.000000,-0.087445,7.250000,8.000000
9.012888,0.000000,-0.122884,9.000000,8.000000
9.043042,0.000000,-0.088365,8.750000,8.000000
9.076357,0.000000,-0.026689,6.375000,8.000000
9.106505,0.000000,0.021510,1.500000,8.000000
9.136655,0.000000,0.064172,-5.000000,8.000000
9.167090,0.000000,0.064172,-5.000000,9.000000
9.201326,0.000000,0.068532,-11.437500,9.000000
9.231610,0.000000,0.107673,-17.625000,8.000000
9.264814,0.000000,0.103138,-20.500000,8.000000
9.295504,0.000000,0.101888,-19.937500,8.000000
9.325646,0.000000,0.110270,-16.812500,6.000000
9.360883,0.000000,0.122610,-13.250000,6.000000
9.392270,0.000000,0.159461,-9.625000,2.000000
9.422403,0.000000,0.189001,-5.500000,1.000000
9.452532,0.000000,0.187193,-0.750000,1.000000
9.482659,0.000000,0.187193,-0.750000,0.000000
9.513268,0.000000,0.192216,1.625000,0.000000
9.543597,0.000000,0.234812,2.062500,-1.000000
9.573855,0.000000,0.230549,2.500000,-1.000000
9.604037,0.000000,0.224789,3.437500,-1.000000
9.634193,0.000000,0.217675,3.500000,-1.000000
